word	index	count
default	444	2299
h	445	394
splitter	446	57
repository	447	2330
widget	448	423
enable	449	67
commands	450	150
cmd	451	184
click	452	290
activation	453	184
some	454	85
double	455	191
box	456	787
el	457	425
translate	458	267
highlightable	459	39
draggable	460	87
gap	461	150
scope	462	1846
cly	463	1421
project	464	1349
import	465	251
provides	466	8
globals	467	172
metalink	468	69
before	469	200
links	470	114
meta	471	700
break	472	81
manager	473	566
rate	474	31
mutation	475	6
crossover	476	8
lc	477	7
eir	478	3
rates	479	5
destination	480	101
successor	481	33
or	482	2476
curvature	483	24
positions	484	142
sample	485	156
purple	486	18
alpha	487	454
notebook	488	22
page	489	407
icon	490	986
provider	491	218
eye	492	4
most	493	53
force	494	118
random	495	263
simulate	496	39
events	497	155
move	498	285
primary	499	97
center	500	448
issue	501	44
ordered	502	1658
visible	503	215
categories	504	193
ast	505	439
oc	506	297
opal	507	321
examples	508	659
semantic	509	131
analysis	510	137
compiled	511	721
receiver	512	520
nested	513	42
scoping	514	10
when	515	689
elevation	516	24
description	517	1426
values	518	966
normalized	519	29
v	520	1071
fire	521	45
ppyaml	522	1
grammar	523	46
font	524	1066
style	525	1273
italic	526	50
entity	527	1467
comment	528	504
flags	529	76
deny	530	1152
commented	531	51
document	532	1035
subscriber	533	34
mode	534	231
property	535	1259
words	536	46
ui	537	402
inform	538	145
user	539	337
during	540	284
bar	541	485
delay	542	255
seconds	543	552
wait	544	230
uuid	545	154
layers	546	8
answers	547	17
subqueries	548	53
decorate	549	54
str	550	212
major	551	103
minor	552	91
patch	553	137
suffix	554	84
lock	555	66
critical	556	102
tasks	557	56
directory	558	862
abstract	559	269
yaml	560	95
yamln	561	36
cr	562	581
rub	563	190
scrolled	564	61
announcer	565	472
updated	566	50
send	567	488
auto	568	213
accept	569	323
ghost	570	62
fm	571	227
wizard	572	22
part	573	149
implementing	574	29
span	575	245
by	576	1328
baseline	577	296
navigation	578	288
unsent	579	1
generator	580	455
substitution	581	23
loading	582	7
family	583	77
initial	584	288
maximum	585	163
absolute	586	117
age	587	50
relative	588	164
overflow	589	29
trim	590	201
both	591	77
split	592	83
expected	593	851
frame	594	841
rows	595	675
df	596	470
header	597	433
enumerate	598	37
smalltalk	599	932
